"","species","replicate_number","invade_monoculture","temperature","mesocosm_id","day","zooplankton_abundance","day_n","ephippia_abundance","ephippia_species","algae_abundance","fiji_bs","zooplankton_length_cm","date","dry_weight_ug_per_individual","average_weight_zooplankton","zooplankton_biomass_per_mesocosm"
"21","daphnia",6,"daph invade",20,"dia-meso-20-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"22","daphnia",4,"daph invade",24,"dia-meso-24-4","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"23","daphnia",5,"daph invade",24,"dia-meso-24-5","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"24","daphnia",6,"daph invade",24,"dia-meso-24-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"25","daphnia",4,"daph invade",26,"dia-meso-26-4","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"26","daphnia",5,"daph invade",26,"dia-meso-26-5","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"27","daphnia",6,"daph invade",26,"dia-meso-26-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"28","daphnia",4,"daph invade",27,"dia-meso-27-4","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"29","daphnia",5,"daph invade",27,"dia-meso-27-5","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"30","daphnia",6,"daph invade",27,"dia-meso-27-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"31","daphnia",4,"daph invade",28,"dia-meso-28-4","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"32","daphnia",5,"daph invade",28,"dia-meso-28-5","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"33","daphnia",6,"daph invade",28,"dia-meso-28-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"34","daphnia",4,"daph invade",30,"dia-meso-30-4","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"35","daphnia",5,"daph invade",30,"dia-meso-30-5","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"36","daphnia",6,"daph invade",30,"dia-meso-30-6","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"37","daphnia",1,"monoculture",20,"daph-meso-20-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"38","daphnia",2,"monoculture",20,"daph-meso-20-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"39","daphnia",3,"monoculture",20,"daph-meso-20-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"40","daphnia",1,"monoculture",24,"daph-meso-24-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"41","daphnia",2,"monoculture",24,"daph-meso-24-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"42","daphnia",3,"monoculture",24,"daph-meso-24-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"43","daphnia",1,"monoculture",26,"daph-meso-26-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"44","daphnia",2,"monoculture",26,"daph-meso-26-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"45","daphnia",3,"monoculture",26,"daph-meso-26-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"46","daphnia",1,"monoculture",27,"daph-meso-27-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"47","daphnia",2,"monoculture",27,"daph-meso-27-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"48","daphnia",3,"monoculture",27,"daph-meso-27-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"49","daphnia",1,"monoculture",28,"daph-meso-28-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"50","daphnia",2,"monoculture",28,"daph-meso-28-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"51","daphnia",3,"monoculture",28,"daph-meso-28-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"52","daphnia",1,"monoculture",30,"daph-meso-30-1","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"53","daphnia",2,"monoculture",30,"daph-meso-30-2","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"54","daphnia",3,"monoculture",30,"daph-meso-30-3","day1",NA,1,NA,"daphnia.ephippia",NA,NA,NA,2019-09-12,NA,NA,NA
"55","daphnia",4,"dia invade",30,"daph-meso-30-4","day7",5,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"56","daphnia",5,"dia invade",30,"daph-meso-30-5","day7",8,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"57","daphnia",6,"dia invade",30,"daph-meso-30-6","day7",5,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"58","daphnia",4,"dia invade",28,"daph-meso-28-4","day7",40,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"59","daphnia",5,"dia invade",28,"daph-meso-28-5","day7",27,7,3,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"60","daphnia",6,"dia invade",28,"daph-meso-28-6","day7",33,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"61","daphnia",4,"dia invade",27,"daph-meso-27-4","day7",83,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"62","daphnia",5,"dia invade",27,"daph-meso-27-5","day7",32,7,4,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"63","daphnia",6,"dia invade",27,"daph-meso-27-6","day7",61,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"64","daphnia",4,"dia invade",26,"daph-meso-26-4","day7",84,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"65","daphnia",5,"dia invade",26,"daph-meso-26-5","day7",44,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"66","daphnia",6,"dia invade",26,"daph-meso-26-6","day7",97,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"67","daphnia",4,"dia invade",24,"daph-meso-24-4","day7",86,7,3,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"68","daphnia",5,"dia invade",24,"daph-meso-24-5","day7",14,7,4,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"69","daphnia",6,"dia invade",24,"daph-meso-24-6","day7",119,7,2,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"70","daphnia",4,"dia invade",20,"daph-meso-20-4","day7",61,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"71","daphnia",5,"dia invade",20,"daph-meso-20-5","day7",36,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"72","daphnia",6,"dia invade",20,"daph-meso-20-6","day7",59,7,1,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"73","daphnia",4,"daph invade",20,"dia-meso-20-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"74","daphnia",5,"daph invade",20,"dia-meso-20-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"75","daphnia",6,"daph invade",20,"dia-meso-20-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"76","daphnia",4,"daph invade",24,"dia-meso-24-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"77","daphnia",5,"daph invade",24,"dia-meso-24-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"78","daphnia",6,"daph invade",24,"dia-meso-24-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"79","daphnia",4,"daph invade",26,"dia-meso-26-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"80","daphnia",5,"daph invade",26,"dia-meso-26-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"81","daphnia",6,"daph invade",26,"dia-meso-26-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"82","daphnia",4,"daph invade",27,"dia-meso-27-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"83","daphnia",5,"daph invade",27,"dia-meso-27-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"84","daphnia",6,"daph invade",27,"dia-meso-27-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"85","daphnia",4,"daph invade",28,"dia-meso-28-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"86","daphnia",5,"daph invade",28,"dia-meso-28-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"87","daphnia",6,"daph invade",28,"dia-meso-28-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"88","daphnia",4,"daph invade",30,"dia-meso-30-4","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"89","daphnia",5,"daph invade",30,"dia-meso-30-5","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"90","daphnia",6,"daph invade",30,"dia-meso-30-6","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"91","daphnia",1,"monoculture",20,"daph-meso-20-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"92","daphnia",2,"monoculture",20,"daph-meso-20-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"93","daphnia",3,"monoculture",20,"daph-meso-20-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"94","daphnia",1,"monoculture",24,"daph-meso-24-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"95","daphnia",2,"monoculture",24,"daph-meso-24-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"96","daphnia",3,"monoculture",24,"daph-meso-24-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"97","daphnia",1,"monoculture",26,"daph-meso-26-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"98","daphnia",2,"monoculture",26,"daph-meso-26-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"99","daphnia",3,"monoculture",26,"daph-meso-26-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"100","daphnia",1,"monoculture",27,"daph-meso-27-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"101","daphnia",2,"monoculture",27,"daph-meso-27-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"102","daphnia",3,"monoculture",27,"daph-meso-27-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"103","daphnia",1,"monoculture",28,"daph-meso-28-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"104","daphnia",2,"monoculture",28,"daph-meso-28-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"105","daphnia",3,"monoculture",28,"daph-meso-28-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"106","daphnia",1,"monoculture",30,"daph-meso-30-1","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"107","daphnia",2,"monoculture",30,"daph-meso-30-2","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"108","daphnia",3,"monoculture",30,"daph-meso-30-3","day7",NA,7,NA,"daphnia.ephippia",NA,NA,NA,2019-09-20,NA,NA,NA
"109","daphnia",4,"dia invade",30,"daph-meso-30-4","day11",0,11,0,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"110","daphnia",5,"dia invade",30,"daph-meso-30-5","day11",7,11,0,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"111","daphnia",6,"dia invade",30,"daph-meso-30-6","day11",1,11,0,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"112","daphnia",4,"dia invade",28,"daph-meso-28-4","day11",35,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"113","daphnia",5,"dia invade",28,"daph-meso-28-5","day11",25,11,7,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"114","daphnia",6,"dia invade",28,"daph-meso-28-6","day11",29,11,5,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"115","daphnia",4,"dia invade",27,"daph-meso-27-4","day11",50,11,3,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"116","daphnia",5,"dia invade",27,"daph-meso-27-5","day11",35,11,3,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"117","daphnia",6,"dia invade",27,"daph-meso-27-6","day11",62,11,3,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"118","daphnia",4,"dia invade",26,"daph-meso-26-4","day11",74,11,3,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"119","daphnia",5,"dia invade",26,"daph-meso-26-5","day11",42,11,5,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"120","daphnia",6,"dia invade",26,"daph-meso-26-6","day11",47,11,2,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"121","daphnia",4,"dia invade",24,"daph-meso-24-4","day11",76,11,2,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"122","daphnia",5,"dia invade",24,"daph-meso-24-5","day11",15,11,7,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"123","daphnia",6,"dia invade",24,"daph-meso-24-6","day11",72,11,1,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"124","daphnia",4,"dia invade",20,"daph-meso-20-4","day11",66,11,8,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"125","daphnia",5,"dia invade",20,"daph-meso-20-5","day11",40,11,5,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"126","daphnia",6,"dia invade",20,"daph-meso-20-6","day11",68,11,4,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"127","daphnia",4,"daph invade",20,"dia-meso-20-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"128","daphnia",5,"daph invade",20,"dia-meso-20-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"129","daphnia",6,"daph invade",20,"dia-meso-20-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"130","daphnia",4,"daph invade",24,"dia-meso-24-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"131","daphnia",5,"daph invade",24,"dia-meso-24-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"132","daphnia",6,"daph invade",24,"dia-meso-24-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"133","daphnia",4,"daph invade",26,"dia-meso-26-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"134","daphnia",5,"daph invade",26,"dia-meso-26-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"135","daphnia",6,"daph invade",26,"dia-meso-26-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"136","daphnia",4,"daph invade",27,"dia-meso-27-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"137","daphnia",5,"daph invade",27,"dia-meso-27-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"138","daphnia",6,"daph invade",27,"dia-meso-27-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"139","daphnia",4,"daph invade",28,"dia-meso-28-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"140","daphnia",5,"daph invade",28,"dia-meso-28-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"141","daphnia",6,"daph invade",28,"dia-meso-28-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"142","daphnia",4,"daph invade",30,"dia-meso-30-4","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"143","daphnia",5,"daph invade",30,"dia-meso-30-5","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"144","daphnia",6,"daph invade",30,"dia-meso-30-6","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"145","daphnia",1,"monoculture",20,"daph-meso-20-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"146","daphnia",2,"monoculture",20,"daph-meso-20-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"147","daphnia",3,"monoculture",20,"daph-meso-20-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"148","daphnia",1,"monoculture",24,"daph-meso-24-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"149","daphnia",2,"monoculture",24,"daph-meso-24-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"150","daphnia",3,"monoculture",24,"daph-meso-24-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"151","daphnia",1,"monoculture",26,"daph-meso-26-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"152","daphnia",2,"monoculture",26,"daph-meso-26-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"153","daphnia",3,"monoculture",26,"daph-meso-26-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"154","daphnia",1,"monoculture",27,"daph-meso-27-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"155","daphnia",2,"monoculture",27,"daph-meso-27-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"156","daphnia",3,"monoculture",27,"daph-meso-27-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"157","daphnia",1,"monoculture",28,"daph-meso-28-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"158","daphnia",2,"monoculture",28,"daph-meso-28-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"159","daphnia",3,"monoculture",28,"daph-meso-28-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"160","daphnia",1,"monoculture",30,"daph-meso-30-1","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"161","daphnia",2,"monoculture",30,"daph-meso-30-2","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"162","daphnia",3,"monoculture",30,"daph-meso-30-3","day11",NA,11,NA,"daphnia.ephippia",NA,NA,NA,2019-09-23,NA,NA,NA
"163","daphnia",4,"dia invade",30,"daph-meso-30-4","day15",0,15,0,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"164","daphnia",5,"dia invade",30,"daph-meso-30-5","day15",0,15,1,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"165","daphnia",6,"dia invade",30,"daph-meso-30-6","day15",0,15,0,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"166","daphnia",4,"dia invade",28,"daph-meso-28-4","day15",10,15,1,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"167","daphnia",5,"dia invade",28,"daph-meso-28-5","day15",6,15,3,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"168","daphnia",6,"dia invade",28,"daph-meso-28-6","day15",29,15,3,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"169","daphnia",4,"dia invade",27,"daph-meso-27-4","day15",74,15,4,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"170","daphnia",5,"dia invade",27,"daph-meso-27-5","day15",58,15,2,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"171","daphnia",6,"dia invade",27,"daph-meso-27-6","day15",67,15,2,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"172","daphnia",4,"dia invade",26,"daph-meso-26-4","day15",66,15,6,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"173","daphnia",5,"dia invade",26,"daph-meso-26-5","day15",57,15,4,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"174","daphnia",6,"dia invade",26,"daph-meso-26-6","day15",72,15,5,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"175","daphnia",4,"dia invade",24,"daph-meso-24-4","day15",61,15,6,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"176","daphnia",5,"dia invade",24,"daph-meso-24-5","day15",26,15,7,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"177","daphnia",6,"dia invade",24,"daph-meso-24-6","day15",57,15,4,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"178","daphnia",4,"dia invade",20,"daph-meso-20-4","day15",61,15,12,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"179","daphnia",5,"dia invade",20,"daph-meso-20-5","day15",59,15,8,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"180","daphnia",6,"dia invade",20,"daph-meso-20-6","day15",67,15,9,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"181","daphnia",4,"daph invade",20,"dia-meso-20-4","day15",NA,15,NA,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
"182","daphnia",5,"daph invade",20,"dia-meso-20-5","day15",NA,15,NA,"daphnia.ephippia",NA,NA,NA,2019-09-27,NA,NA,NA
